name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
clindacin,clindamycin,0.8948,0.8182,0.9714,
Nafro A plm,Nafro A plus,0.8944,0.8333,0.9556,
Toradolin,trodolin,0.8889,0.7778,1.0000,
Calboral D,Calborul-D,0.8857,0.8000,0.9714,
Carulcal D,Corulcal-D,0.8857,0.8000,0.9714,
coral cal,coral cal d,0.8841,0.8182,0.9500,
Coralcal,Coralcalry,0.8833,0.8000,0.9667,
Cetinol forte,Ratinol Forte,0.8814,0.8462,0.9167,
TRD Coutine,TRD Couture,0.8805,0.8182,0.9429,
Dophylin,Dophyllinc,0.8800,0.8000,0.9600,
halconl Dx,hallornl Dx,0.8795,0.8182,0.9407,
Aristovil-B,Aristovit -B,0.8774,0.8333,0.9214,
Caficid,Cowficid,0.8750,0.7500,1.0000,
Geotrenol,Gestirenol,0.8750,0.8000,0.9500,
Maxsulin,Maxsulin R,0.8750,0.8000,0.9500,
Fluclox,Flucloxin,0.8746,0.7778,0.9714,
cap. Fzsprazo,Cap.Fusprazo,0.8744,0.8462,0.9026,
Ceftadixime,ceftazidime,0.8730,0.8182,0.9278,
Calboral,Calboral D,0.8714,0.8000,0.9429,
Zymat Pro,Zymetpro,0.8694,0.7778,0.9611,
Meropen,Meropenem,0.8689,0.7778,0.9600,
Kallonl Dx,Kalorl Dx,0.8667,0.8000,0.9333,
Kindial-D,kindical D,0.8667,0.8000,0.9333,
telcard,Telmicard,0.8667,0.7778,0.9556,
cap. Esprazo,cap. Fzsprazo,0.8659,0.8462,0.8856,
cap. Esprazo,Cap.Fusprazo,0.8643,0.8333,0.8952,
Rafino Forte,Ratinol Forte,0.8641,0.8462,0.8821,
Neurobest,Neurocet,0.8622,0.7778,0.9467,
halconl Dx,Kallonl Dx,0.8606,0.8000,0.9213,
Indever,Indever f,0.8603,0.7778,0.9429,
Cor algen-D,Coragen-D,0.8591,0.8182,0.9000,
Naprosin Plus,Naprox plus,0.8587,0.7692,0.9481,
Exium Mups,Nexum Mups,0.8583,0.8000,0.9167,
Valex CR,Valic CR,0.8583,0.7500,0.9667,
Bildent,Biltant,0.8571,0.7143,1.0000,
Bisoren,Bizoran,0.8571,0.7143,1.0000,
clarin,Glarine,0.8571,0.7143,1.0000,
Hastaol,Histal,0.8571,0.7143,1.0000,
Hastaol,Histol,0.8571,0.7143,1.0000,
lufilox,Lwfilex,0.8571,0.7143,1.0000,
Priten,protein,0.8571,0.7143,1.0000,
Profen,Purifen,0.8571,0.7143,1.0000,
ratnol,Retinol,0.8571,0.7143,1.0000,
Regler,Regular,0.8571,0.7143,1.0000,
Revatol,Revital,0.8571,0.7143,1.0000,
Secrin,Sekorin,0.8571,0.7143,1.0000,
Timptin,Tmiptin,0.8571,0.7143,1.0000,
pel. Desolan,Peli. Derolon,0.8560,0.7692,0.9429,
Napronex,Naproxen,0.8556,0.7500,0.9611,
calcor,Calcor-D,0.8550,0.7500,0.9600,
Nalbun,Nalbun-Z,0.8550,0.7500,0.9600,
BRON WASFI,Bron Wash,0.8548,0.8000,0.9095,
Profinex,Pronex,0.8528,0.7500,0.9556,
Cap. Foldin,cap. Folzim,0.8519,0.8182,0.8857,
Normal,normanal,0.8517,0.7500,0.9533,
hallornl Dx,Kallonl Dx,0.8512,0.8182,0.8843,
Microgest,Microsegt,0.8500,0.7778,0.9222,
Naproxen,Neuroxen,0.8500,0.7500,0.9500,
Scluprud,Solupred,0.8500,0.7500,0.9500,
Aristovit,Aristovit -B,0.8500,0.7500,0.9500,
coral cal,Coraleal,0.8500,0.7778,0.9222,
Calboral Dx,Kalorl Dx,0.8488,0.7273,0.9704,
Purisal,Purtisol,0.8483,0.7500,0.9467,
Maxrin,Maxrin D,0.8464,0.7500,0.9429,
Caficid,Comficid,0.8450,0.7500,0.9400,
Canficid,Cowficid,0.8450,0.7500,0.9400,
